ID,성별,나이,키,몸무게,BMI
5_000001,남,0.04,543,3.52,
5_000002,남,0.07,580,5.11,
5_000003,남,0.07,544,5.02,
5_000004,남,0.08,505,4.1,
5_000005,남,0.08,530,4.1,
5_000006,남,0.08,535,4.05,
5_000007,남,0.08,522,4.99,
5_000008,남,0.09,528,4.53,
5_000009,남,0.1,548,5.03,
5_000010,남,0.1,527,4.35,
5_000011,남,0.11,540,4.93,
5_000012,남,0.11,552,4.52,
5_000013,남,0.11,592,5.15,
5_000014,남,0.12,575,5.8,
5_000015,남,0.12,610,6.13,
5_000016,남,0.13,519,5.08,
5_000017,남,0.13,605,5.46,
5_000018,남,0.13,593,6.72,
5_000019,남,0.15,576,5.93,
5_000020,남,0.16,600,5.5,
5_000021,남,0.16,627,5.67,
5_000022,남,0.16,587,5.86,
5_000023,남,0.16,610,5.68,
5_000024,남,0.16,555,5.77,
5_000025,남,0.16,645,7.25,
5_000026,남,0.16,610,6.18,
5_000027,남,0.16,615,6.65,
5_000028,남,0.16,560,4.82,
5_000029,남,0.17,595,6.1,
5_000030,남,0.17,585,6.4,
5_000031,남,0.17,626,6.94,
5_000032,남,0.17,605,7.04,
5_000033,남,0.17,616,6.36,
5_000034,남,0.18,619,6.1,
5_000035,남,0.18,669,8.13,
5_000036,남,0.18,654,6.84,
5_000037,남,0.19,606,6.65,
5_000038,남,0.19,596,5.63,
5_000039,남,0.2,630,6.92,
5_000040,남,0.21,620,7.58,
5_000041,남,0.21,643,7.03,
5_000042,남,0.21,620,6.25,
5_000043,남,0.21,627,7.11,
5_000044,남,0.22,615,7.77,
5_000045,남,0.22,620,6.4,
5_000046,남,0.22,590,7.3,
5_000047,남,0.23,609,6.05,
5_000048,남,0.24,610,5.66,
5_000049,남,0.24,614,7.58,
5_000050,남,0.24,630,6.5,
5_000051,남,0.24,612,6.12,
5_000052,남,0.25,600,6.3,
5_000053,남,0.26,616,7.79,
5_000054,남,0.26,627,6.29,
5_000055,남,0.27,679,7.42,
5_000056,남,0.27,624,7.7,
