ID,성별,나이,키 ,몸무게 ,BMI
20_남자_1417,남자,41,1667,70.8,
20_남자_1455,남자,41,1656,58.8,
20_남자_1458,남자,40,1729,65.6,
20_여자_1465,여자,42,1685,70.4,
20_여자_1467,여자,42,1602,50.1,
20_여자_1477,여자,40,1642,52.2,
20_여자_1486,여자,43,1589,54.1,
20_여자_1490,여자,40,1531,56.4,
20_여자_1492,여자,40,1538,51.2,
20_여자_1495,여자,40,1632,49,
20_여자_1501,여자,40,1651,56.5,
20_여자_1506,여자,43,1745,52.7,
20_여자_1512,여자,41,1532,52.8,
20_여자_1531,여자,44,1584,61,
20_여자_1549,여자,42,1581,43.9,
20_남자_1556,남자,43,1715,73.3,
20_남자_1571,남자,41,1646,52.1,
20_남자_1580,남자,44,1757,77,
20_남자_1588,남자,41,1744,82.5,
20_남자_1597,남자,43,1698,84.2,
20_남자_1614,남자,42,1669,59.8,
20_남자_1619,남자,40,1731,74.5,
20_남자_1622,남자,41,1713,69,
20_여자_1631,여자,42,1565,58.4,
20_여자_1638,여자,40,1672,73.8,
20_여자_1670,여자,40,1578,49.4,
20_여자_1672,여자,32,1561,47,
20_여자_1676,여자,32,1631,48.9,
20_여자_1677,여자,42,1612,59.7,
20_여자_1679,여자,30,1617,71,
20_여자_1682,여자,31,1669,83.3,
20_여자_1683,여자,30,1628,60.2,
20_여자_1684,여자,31,1596,57.5,
20_여자_1686,여자,30,1639,53.9,
20_여자_1688,여자,43,1690,67.2,
20_여자_1689,여자,31,1530,45.3,
20_여자_1691,여자,30,1709,57.6,
20_여자_1692,여자,31,1591,58.8,
20_여자_1693,여자,32,1685,69.2,
20_여자_1694,여자,36,1617,66,
20_여자_1696,여자,26,1699,53.6,
20_여자_1697,여자,32,1576,50.6,
20_여자_1698,여자,31,1677,73.7,
20_여자_1699,여자,39,1586,58.8,
20_여자_1700,여자,28,1622,61.6,
20_여자_1701,여자,34,1565,45.2,
20_여자_1702,여자,36,1591,51.9,
20_여자_1704,여자,33,1648,49.3,
20_여자_1705,여자,38,1657,58.8,
20_여자_1706,여자,28,1660,60.4,
20_여자_1707,여자,38,1606,53.5,
20_여자_1708,여자,27,1540,50.5,
20_여자_1710,여자,31,1555,50.5,
20_여자_1711,여자,31,1693,65.2,
20_여자_1712,여자,25,1638,67.2,
20_여자_1713,여자,38,1608,53.4,
20_여자_1714,여자,25,1625,51.1,
20_여자_1715,여자,27,1535,45.4,
20_여자_1716,여자,29,1610,51.4,
20_여자_1717,여자,28,1605,48.6,
20_여자_1718,여자,30,1546,49.3,
20_여자_1719,여자,36,1564,45.1,
20_여자_1720,여자,26,1585,47.4,
20_여자_1721,여자,33,1600,60.6,
20_여자_1722,여자,37,1540,64.4,
20_여자_1723,여자,38,1770,69,
20_여자_1724,여자,42,1627,55.4,
20_여자_1725,여자,40,1592,48.4,
20_여자_1726,여자,32,1659,60.4,
20_여자_1727,여자,33,1536,47.6,
20_남자_1731,남자,42,1704,62.7,
20_남자_1752,남자,40,1640,66.2,
20_남자_1753,남자,42,1728,64.5,
20_남자_1759,남자,29,1722,83.8,
20_남자_1760,남자,43,1757,74.8,
20_남자_1763,남자,26,1788,75.2,
20_남자_1764,남자,27,1700,64.8,
20_남자_1768,남자,31,1752,72.4,
20_남자_1769,남자,29,1736,77.3,
20_남자_1770,남자,27,1764,84.4,
20_남자_1771,남자,26,1775,74.9,
20_남자_1772,남자,42,1734,78,
20_남자_1773,남자,30,1771,72.2,
20_남자_1774,남자,30,1720,64.1,
20_남자_1776,남자,30,1781,80.3,
20_남자_1779,남자,27,1751,68.1,
20_남자_1780,남자,30,1664,70.8,
20_남자_1781,남자,27,1691,77.6,
20_남자_1782,남자,28,1790,74.5,
20_남자_1783,남자,29,1720,68.8,
20_남자_1784,남자,31,1837,94.2,
20_남자_1787,남자,25,1725,85.7,
20_남자_1790,남자,31,1830,77,
20_남자_1793,남자,25,1786,54.2,
20_남자_1795,남자,27,1841,89.6,
20_남자_1796,남자,26,1727,63.7,
20_남자_1798,남자,29,1684,61.3,
20_여자_1801,여자,32,1621,57,
20_여자_1802,여자,37,1611,48.4,
20_여자_1803,여자,28,1600,55.7,
20_여자_1804,여자,30,1599,47.3,
20_여자_1805,여자,34,1637,44.9,
20_여자_1806,여자,30,1586,54.6,
20_여자_1807,여자,43,1521,47.6,
20_여자_1808,여자,44,1603,63.5,
20_여자_1809,여자,34,1702,68.7,
20_여자_1810,여자,33,1711,66.5,
20_여자_1811,여자,39,1640,70.6,
20_여자_1817,여자,25,1666,49.3,
20_여자_1818,여자,35,1637,71.1,
20_여자_1819,여자,44,1542,84.1,
20_여자_1820,여자,33,1612,64.9,
20_여자_1821,여자,40,1558,65.1,
20_여자_1822,여자,30,1622,60.9,
20_여자_1823,여자,30,1607,49.4,
20_여자_1824,여자,37,1679,73.3,
20_여자_1826,여자,28,1551,46.4,
20_여자_1827,여자,37,1668,58,
20_여자_1828,여자,39,1674,52.7,
20_여자_1829,여자,31,1672,51.5,
20_여자_1830,여자,41,1638,61.2,
20_여자_1831,여자,33,1581,54.9,
20_여자_1832,여자,44,1628,64.5,
20_여자_1833,여자,32,1636,54.3,
20_여자_1834,여자,30,1531,58.2,
20_여자_1835,여자,35,1700,82.2,
20_여자_1836,여자,27,1629,48.3,
20_여자_1837,여자,39,1567,48,
20_여자_1838,여자,39,1697,60.1,
20_여자_1839,여자,35,1582,53.1,
20_여자_1840,여자,30,1485,38.4,
20_여자_1841,여자,29,1644,54.1,
20_여자_1842,여자,41,1704,85.5,
20_여자_1843,여자,26,1701,73.3,
20_여자_1844,여자,31,1634,54.4,
20_여자_1845,여자,32,1615,56.6,
20_여자_1846,여자,25,1602,64.5,
20_여자_1847,여자,31,1648,64,
20_여자_1848,여자,34,1612,60.2,
20_여자_1849,여자,29,1683,64.9,
20_여자_1850,여자,42,1685,55.2,
20_여자_1851,여자,36,1677,70.4,
20_여자_1852,여자,35,1590,51.6,
20_여자_1854,여자,27,1633,64.4,
20_여자_1855,여자,40,1698,51.5,
20_여자_1856,여자,31,1582,49.3,
20_여자_1857,여자,35,1570,51.1,
20_여자_1858,여자,35,1666,66.5,
20_여자_1859,여자,33,1604,52.9,
20_여자_1860,여자,35,1651,69.9,
20_여자_1861,여자,32,1635,47.6,
20_여자_1862,여자,34,1631,63.6,
20_여자_1863,여자,38,1582,52.2,
20_여자_1864,여자,37,1645,69,
20_여자_1865,여자,38,1706,56.5,
20_여자_1866,여자,43,1645,75.1,
20_여자_1867,여자,27,1581,47.5,
20_여자_1868,여자,34,1575,57.7,
20_여자_1869,여자,29,1696,84.7,
20_여자_1870,여자,37,1569,45.7,
20_여자_1871,여자,37,1539,48.3,
20_여자_1873,여자,35,1727,91.4,
