ID,성별,나이,키,몸무게,BMI
1,남자,0,549,45.52810219,
2,남자,0,622,70,
3,남자,0,528,43,
4,남자,0,598,58,
5,남자,0,640,67,
6,남자,0,630,75,
7,남자,0,528,45.49921978,
8,남자,0,672,82,
9,남자,0,630,67,
10,남자,0,685,86,
11,남자,0,635,75,
12,남자,0,668,85,
13,남자,0,665,67,
14,남자,0,716,89,
15,남자,0,558,50,
16,남자,0,658,76,
17,남자,0,647,70,
18,남자,0,558,44,
19,남자,0,720,90,
20,남자,0,647,80,
21,남자,0,595,52,
22,남자,0,690,90,
23,남자,0,836.7559908,120,
24,남자,0,609,58,
25,남자,0,848.9993345,116.2054655,
26,남자,0,660,75,
27,남자,0,603,66,
28,남자,0,515,35,
29,남자,0,655,80,
30,남자,0,706,90,
31,남자,0,649,64,
32,남자,0,834,120,
33,남자,0,595,74,
34,남자,0,582,54,
35,남자,0,610,70,
36,남자,0,720,87,
37,남자,0,642,82,
38,남자,0,640,57,
39,남자,0,681,83,
40,남자,0,690.662357,70,
41,남자,0,714,89.47353451,
42,남자,0,637,68,
43,남자,0,680,67,
44,남자,0,610,53,
45,남자,0,704,82,
46,남자,0,680,87,
47,남자,0,604,69,
48,남자,0,586,50,
49,남자,0,656,60,
50,남자,0,714,100,
51,남자,0,679,75,
52,남자,0,680,70,
53,남자,0,820,110,
54,남자,0,666.9934779,72,
55,남자,0,639,73,
56,남자,0,622,83,
57,남자,0,710,92,
58,남자,0,704,100,
59,남자,0,710,94,
60,남자,0,723,94,
61,남자,0,554,43,
62,남자,0,678,85,
63,남자,0,629,68,
64,남자,0,578,56,
65,남자,0,732,85,
66,남자,0,680,80,
67,남자,0,669,86,
68,남자,0,572,53,
69,남자,0,649,75,
70,남자,0,650,82,
71,남자,0,826,110.0040928,
72,남자,0,680,75,
73,남자,0,740,100,
74,남자,0,645,55,
75,남자,0,602,58,
76,남자,0,750,90,
77,남자,0,740,100,
78,남자,0,720,90,
79,남자,0,690,86,
80,남자,0,659,64,
81,남자,0,574,55,
82,남자,0,696.8042638,75,
83,남자,0,700,76,
84,남자,0,686,83,
85,남자,0,573,52,
86,남자,0,607,71,
87,남자,0,550,47,
88,남자,0,720,100,
89,남자,0,575.1416419,65,
90,남자,0,600,64,
91,남자,0,521,38,
92,남자,0,564,58,
93,남자,0,738,80,
94,남자,0,599,60,
95,남자,0,672,87.33166993,
96,남자,0,700,82,
97,남자,0,662,90,
98,남자,0,650,81,
99,남자,0,618,50,
100,남자,0,598,56,
101,남자,0,671,88,
102,남자,0,630,53.77205019,
103,남자,0,752,110,
104,남자,0,545,50,
105,남자,0,634,75,
106,남자,0,642,90,
107,남자,0,586,58.70640843,
108,남자,0,519,33,
109,남자,0,568,42,
110,남자,0,657,64,
111,남자,0,760,95,
112,남자,0,607,52,
113,남자,0,675,87,
114,남자,0,620,83,
115,남자,0,742,54,
116,남자,0,670,75,
117,남자,0,535,41,
118,남자,0,525,46,
119,남자,0,580,77,
120,남자,0,592,74,
121,남자,0,700,77,
122,남자,0,658,65,
123,남자,0,512,51,
124,남자,0,634,73,
125,남자,0,639,75,
126,남자,0,598,70,
127,남자,0,700,93,
128,남자,0,690,92,
129,남자,0,730,96,
130,남자,0,660,84,
131,남자,0,678,79.35732736,
132,남자,0,670,75,
133,남자,0,665.6795042,77,
134,남자,0,701,85,
135,남자,0,658,62,
136,남자,0,532,45,
137,남자,0,835,115,
138,남자,0,645,85,
139,남자,0,664,90,
140,남자,0,646,66,
141,남자,0,710,77,
142,남자,0,656,83,
143,남자,0,688,90,
144,남자,0,628,62,
145,남자,0,705,82,
146,남자,0,564,62,
147,남자,0,606,67,
148,남자,1,734,92,
149,남자,1,803,100,
150,남자,1,640.8521151,60.6125176,
151,남자,1,840,115,
152,남자,1,791,100,
153,남자,1,829,125,
154,남자,1,835,115,
155,남자,1,800,120,
156,남자,1,849,115,
157,남자,1,701,105,
158,남자,1,782,120,
159,남자,1,830,110,
160,남자,1,708,70,
161,남자,1,880,100,
162,남자,1,760,90,
163,남자,1,868,145,
164,남자,1,828.8197883,104,
165,남자,1,872,105,
166,남자,1,700,93,
167,남자,1,840,100,
168,남자,1,848,120,
169,남자,1,850,115,
170,남자,1,810,105,
171,남자,1,764.8036626,100,
172,남자,1,844,110,
173,남자,1,880,130,
174,남자,1,755,85,
175,남자,1,915,135,
176,남자,1,670,71.03877174,
177,남자,1,756,110,
178,남자,1,848,115,
179,남자,1,865,120,
180,남자,1,782,105,
181,남자,1,842,90,
182,남자,1,918,115,
183,남자,1,881,135,
184,남자,1,745,90,
185,남자,1,803,95,
186,남자,1,789,81,
187,남자,1,823,100,
188,남자,1,830,135,
189,남자,1,770,110,
190,남자,1,690,83,
191,남자,1,877,130,
192,남자,1,847,125,
193,남자,1,825,120,
194,남자,1,876,110,
195,남자,1,761,110,
196,남자,1,803,99.97144149,
197,남자,1,830,105,
198,남자,1,833,102,
199,남자,1,884,120,
200,남자,1,779,100,
201,남자,1,823,115,
202,남자,1,858,120,
203,남자,1,872.115836,127.4270529,
204,남자,1,800,100,
205,남자,1,804,110,
206,남자,1,854.8921729,124,
207,남자,1,780,115,
208,남자,1,825,120,
209,남자,1,815,120,
210,남자,1,830,119.9136738,
211,남자,1,800,95,
212,남자,1,936.3851047,121,
213,남자,1,799,95,
214,남자,1,805,110,
215,남자,1,866,110,
216,남자,1,774,90,
217,남자,1,815,125,
218,남자,1,772,98,
219,남자,1,753,125,
220,남자,1,892,120,
221,남자,1,760,105,
222,남자,1,744,80,
223,남자,1,846,154,
224,남자,1,814,131,
225,남자,1,806,104,
226,남자,1,832,105,
227,남자,1,732,96,
228,남자,1,826,105,
229,남자,1,790,110,
230,남자,1,814.9583078,116.6455123,
231,남자,1,752,89,
232,남자,1,832,105,
233,남자,1,844,125,
234,남자,1,783,90,
235,남자,1,812,130,
236,남자,1,876,135,
237,남자,1,864,125,
238,남자,1,859,140,
239,남자,1,736,70,
240,남자,1,860,110,
241,남자,1,871,115,
242,남자,1,779,100,
243,남자,1,877,130,
244,남자,1,800,120,
