지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
100,2004-01-01 00:00,-2.7,,8.3,270,76,3.7,-6.7,915.4,1017,,,,,0,0,,,1200,,,,,,,
100,2004-01-01 01:00,-2.7,,8.8,270,72,,,,,,,,,,,,,,,,,,,,
100,2004-01-01 02:00,-3,,8.3,270,74,,,,,,,,,,,,,,,,,,,,
100,2004-01-01 03:00,-3.5,,7.9,270,75,3.4,-7.8,915.9,1017.8,,,,,0,0,,,1200,0,,-5,,,,
100,2004-01-01 04:00,-3.5,,6,290,76,,,,,,,,,,,,,,,,,,,,
100,2004-01-01 05:00,-3.6,,6,270,76,,,,,,,,,,,,,,,,,,,,
100,2004-01-01 06:00,-3.7,,6.7,270,77,3.5,-7.6,915.8,1017.9,,,,,3,3,Sc,5,1200,,,,,,,
100,2004-01-01 07:00,-3.8,,7.9,270,76,,,,,,,,,,,,,,,,,,,,
100,2004-01-01 08:00,-3.8,,7,270,76,,,,,0,0,,,,,,,,,,,,,,
100,2004-01-01 09:00,-2.8,,8.8,270,73,3.5,-7.3,915.5,1017.1,.6,.31,,,3,3,Sc,5,1000,0,,-3.1,,,,
100,2004-01-01 10:00,-1.7,,8.9,270,65,,,,,1,.65,,,,,,,,,,,,,,
100,2004-01-01 11:00,-1.1,,8.1,270,64,,,,,.9,.62,,,,,,,,,,,,,,
100,2004-01-01 12:00,-.6,,6.8,270,64,3.7,-6.7,914.6,1015.2,.8,.77,,,2,2,Sc,5,600,,19,,,,,
100,2004-01-01 13:00,-.1,,9.1,270,62,,,,,.9,.84,,,,,,,,,19,,,,,
100,2004-01-01 14:00,-.3,,8.2,270,61,,,,,.7,.93,,,,,,,,,19,,,,,
100,2004-01-01 15:00,-.4,,6.6,270,61,3.6,-7.1,914.4,1014.9,.9,.8,,,8,3,ScCi,5,400,0,19,3.6,,,,
100,2004-01-01 16:00,-1,,8,270,66,,,,,.7,.45,,,,,,,,,19,,,,,
100,2004-01-01 17:00,-1.4,,7.3,270,69,,,,,0,.04,,,,,,,,,19,,,,,
100,2004-01-01 18:00,-1.4,,6.7,270,71,3.9,-6.2,915.4,1016.4,0,0,,,8,3,ScCi,5,300,,19,,,,,
100,2004-01-01 19:00,-1.6,,5.8,270,70,,,,,,,,,,,,,,,19,,,,,
100,2004-01-01 20:00,-1.6,,5.1,270,68,,,,,,,,,,,,,,,19,,,,,
100,2004-01-01 21:00,-1.9,,6.4,270,69,3.6,-7.1,915.3,1016.5,,,,,4,0,Ci,,600,0,19,-3.7,,,,
100,2004-01-01 22:00,-2.2,,5.2,270,62,,,,,,,,,,,,,,,19,,,,,
100,2004-01-01 23:00,-2.6,,5.7,270,65,,,,,,,,,,,,,,,19,,,,,
100,2004-01-02 00:00,-2.6,,5,270,61,3,-9.4,915.1,1016.6,,,,,2,0,Ci,,600,,19,,,,,
100,2004-01-02 01:00,-2.6,,6.4,270,70,,,,,,,,,,,,,,,19,,,,,
100,2004-01-02 02:00,-2.9,,6.1,270,77,,,,,,,,,,,,,,,19,,,,,
100,2004-01-02 03:00,-2.9,,5.8,270,80,3.8,-6.2,913.8,1015.3,,,,,8,0,Ci,,600,0,19,-4.2,,,,
100,2004-01-02 04:00,-2.5,,2,270,85,,,,,,,,,,,,,,,1905,,,,,
100,2004-01-02 05:00,-2.5,,6,270,93,,,,,,,.2,,,,,,,,1905,,,,,
100,2004-01-02 06:00,-2.3,.3,5.2,270,95,4.8,-3.3,913.4,1014.5,,,.7,.7,10,6,ScNs,3,300,,1905,,,,,
100,2004-01-02 07:00,-2.2,,3,290,96,,,,,,,1.2,,,,,,,,1905,,,,,
